location,content_summary,relevance_signal,confidence,dataset_source
"Extended Data Figure 4a","Balloon plot showing number of sequenced cells per method per organ per sex per age.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 4b","Schematic of the analysis workflow for data processing.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 4c-d","Colour dictionaries for organs/tissues and ages used throughout the paper.",figure/table source,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 5a-b","Comparison of bulk and single-cell ageing patterns showing that bulk gene expression changes can be explained by cell count and/or read count changes in FACS and droplet data.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 5c-d","Mammary gland T cell relative abundance change with age and top 20 up/downregulated genes in mammary gland.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 5e-f","Marrow precursor B cell relative abundance change with age and top 20 up/downregulated genes in marrow.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 5g-h","Skin keratinocyte stem cell relative abundance change with age and top 20 up/downregulated genes in skin.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6a","Relative abundance of liver hepatocytes changing significantly with age.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6b-d","Bright-field imaging and quantification of hepatocyte cell size and number at different ages.",figure/table source; methodological match,Medium,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6e","Top 10 up/downregulated genes in liver computed using MAST with age as continuous covariate.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6f","Gene expression of Il1b and Clec4f in the liver droplet dataset across six ages.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6g-j","In situ RNA staining of Kupffer cells (Clec4f/Il1b) at different ages with quantification showing increased Il1b-positive Kupffer cells with age.",figure/table source,Medium,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6k","Gene expression of Pecam1 and Mrc1 in the liver droplet dataset across six ages.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 6l-o","In situ RNA staining of LSECs (Pecam1/Mrc1) at different ages with quantification showing increased Mrc1-expressing LSECs with age.",figure/table source,Medium,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 7a-f","Mean number of somatic mutations in genes and ERCC spike-in controls across all tissues per age group comparisons (3m vs 24m, 3m vs 18m, 18m vs 24m).",figure/table source; methodological match,High,main_scrna_geo; main_scrna_aws
"Extended Data Figure 8a-f","Gene raw expression and ERCC spike-in control raw expression across all tissues per age group comparisons to control for sequencing coverage.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_aws
"Extended Data Figure 9a","B cell clonal family tree structures for each time point and mouse showing organ-of-origin composition.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 9b","T cell clonal family tree structures for each time point and mouse showing organ-of-origin composition.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 10a-d","Heat map summaries of overall tissue diversity score and tissue cell-type diversity score for FACS and droplet.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 11a-b","Diversity score at different cluster resolutions for FACS brain myeloid microglia and droplet kidney macrophage.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 11c-d","Diversity score correlation with number of genes expressed per tissue and tissue cell-type showing no confounding.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 11e","Trajectory analysis (PAGA) for brain myeloid microglia cells showing ageing trajectory.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 11f","Heat map of differential gene expression between young (cluster 10) and old (cluster 13) kidney macrophages showing M2 vs M1 signatures.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Data extraction","Description of sequence demultiplexing (bcl2fastq), alignment (STAR for FACS, CellRanger for droplet) to mm10plus genome, and gene count generation (HTSEQ).",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Methods - Data pre-processing","Filtering criteria (minimum 250 genes, 5000 counts for FACS, 2500 UMIs for droplet), normalization, PCA, clustering (Louvain/Leiden), UMAP, and bbknn batch correction.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Cell type annotation","Semi-automated annotation using Tabula Muris 3-month reference with PCA, Louvain/Leiden clustering, and manual curation by tissue experts.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Tissue cell composition analysis","Computation of relative cell-type proportions per tissue and age with linear regression against age.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Differential gene expression","MAST linear model treating age as numerical variable controlling for sex and technology with FDR threshold of 0.01 and age coefficient threshold of 0.005.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Comparison between bulk and single-cell datasets","Analysis comparing log2 fold-changes of cell and read counts from single-cell data with Spearman correlation of bulk DESeq2 normalized expression.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - T cell processing","TraCeR v0.5 used to identify T cell clonal populations from FACS data.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Methods - B cell processing","singlecell-ige used to identify B cell clonal populations from FACS data.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Methods - Mutation analysis","GATK v4.1.1.0 HaplotypeCaller used on FACS data for somatic mutation calling; genes expressed in >=75% of cells selected; ERCC controls used for baseline.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Methods - Trajectory analysis","PAGA used to reconstruct ageing trajectory in brain microglial cells.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Methods - Diversity score","Shannon entropy of cluster assignment regressed against age for each tissue and tissue-cell type using 6 clustering configurations.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Data availability section","States dataset available at interactive browser (tabula-muris-senis.ds.czbiohub.org), figshare (doi:10.6084/m9.figshare.8273102.v2), GEO (GSE132042), and AWS S3.",explicit reference,High,main_scrna_geo; main_scrna_figshare; main_scrna_aws; interactive_browser
"Supplementary Table 1","Sample size (number of cells) for each tissue and age in FACS dataset.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 2","Sample size (number of cells) for each tissue and age in droplet dataset.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 3","Results of bbknn batch-alignment algorithm for correcting method-associated batch effects.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 4","Fraction of cells expressing each senescence marker across all age groups.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 5","P values for cell-type compositional changes with age across tissues.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 6","Differential gene expression results for multiple tissues and cell types with age.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
"Supplementary Table 7","Sample sizes for in situ RNA hybridization quantification groups.",cross-reference in methods,Medium,main_scrna_geo; main_scrna_figshare
"Supplementary Table 8","Mutation count per cell tables and average raw counts for mutation analysis.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Supplementary Table 9","B cell and T cell clonotype assignments from singlecell-ige and TraCeR.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_aws
"Supplementary Table 10","Differentially expressed genes between young and old microglial clusters and kidney macrophage clusters; Alzheimer's disease microglial signature gene list.",cross-reference in methods; methodological match,High,main_scrna_geo; main_scrna_figshare
