claim_id,claim_text,claim_type,importance_tier,evidence_location,dataset_link,supporting_quote,key_terms
11,"In the kidney, the relative abundances of mesangial cells, capillary endothelial cells, loop of Henle ascending limb epithelial cells, and loop of Henle thick ascending limb epithelial cells all decreased with age.",direct empirical observation,1,"Figure 2g; Main text - kidney composition (page 591-592); Supplementary Table 5","GEO: GSE132042: direct","Age-related changes in the kidney include a decrease in the relative abundance of mesangial cells, capillary endothelial cells, loop of Henle ascending limb epithelial cells and loop of Henle thick ascending limb epithelial cells",
12,"Tissue-wide expression of Egf and Atp1a1 decreased with age in the kidney.",threshold-based or cutoff-dependent result,2,"Figure 2h; Main text - kidney composition (page 591-592); Supplementary Table 6","GEO: GSE132042: direct","together with a tissue-wide reduction of Egf and Atp1a1 expression (Fig. 2h, Supplementary Table 6)-suggest an impaired glomerular filtration rate",
13,"Local Atp1a1 expression increased with age in kidney capillary endothelial cells and mesangial cells despite the declining proportion of these cell types.",comparative or integrative finding,2,"Main text - kidney composition (page 591-592); Supplementary Table 6","GEO: GSE132042: direct","Notably, local Atp1a1 expression increases with age in both capillary endothelial cells and mesangial cells, suggesting that a compensation mechanism counteracts the effects of the declining proportion of these cells with age.",
14,"Tissue-wide expression of Umod decreased with age in the kidney, while Umod expression increased within the thick ascending limb epithelial cells that became less abundant.",comparative or integrative finding,2,"Figure 2h; Main text - kidney composition (page 592); Supplementary Table 6","GEO: GSE132042: direct","the expression of Umod-which encodes uromodulin, the most abundant protein in urine-is also reduced across the tissue. The protein uromodulin is produced by the epithelial cells that line the thick ascending limb, and therefore-given the relative decrease in the proportion of epithelial cells in the ascending and the thick ascending limb-our results suggest that normal kidney functions are impaired",Umod: gene encoding uromodulin
15,"In the spleen, the proportion of T cells decreased with age while the relative amount of plasma cells increased.",direct empirical observation,1,"Figure 2i; Main text - spleen composition (page 592); Supplementary Table 5","GEO: GSE132042: direct","In the spleen, the proportion of T cells decreases with age while the relative amount of plasma cells increases (Fig. 2i).",
16,"Spleen differential gene expression showed upregulation of B cell and plasma cell markers (Cd79a, Jchain) and downregulation of the T cell marker Cd3d with age.",threshold-based or cutoff-dependent result,2,"Figure 2j; Main text - spleen composition (page 592); Supplementary Table 6","GEO: GSE132042: direct","This is supported by the upregulation of B cell and plasma cell marker genes (Cd79a and Jchain (also known as Igj), respectively; Fig. 2j, Supplementary Table 6) and the downregulation of Cd3d",Jchain: gene encoding the joining chain of immunoglobulins (also known as Igj)
17,"The T cell population in the mammary gland declined with age.",direct empirical observation,2,"Extended Data Figure 5c; Main text - mammary gland (page 592-593)","GEO: GSE132042: direct","Similarly, in the mammary gland we observed a decline of the T cell population (Extended Data Fig. 5c).",
18,"AP1 transcription factor genes (Junb, Jund, Fos) were upregulated with age in the mammary gland.",threshold-based or cutoff-dependent result,2,"Extended Data Figure 5d; Main text - mammary gland (page 592-593); Supplementary Table 6","GEO: GSE132042: direct","Moreover, genes encoding AP1 transcription factors (Junb, Jund and Fos) were upregulated with age (Extended Data Fig. 5d, Supplementary Table 6)",AP1: activator protein 1 transcription factor complex
19,"The relative proportion of hepatocytes in the liver decreased with age.",direct empirical observation,1,"Extended Data Figure 6a; Main text - liver composition (page 593)","GEO: GSE132042: direct","We observed an age-related decrease in the relative number of hepatocytes (Extended Data Fig. 6a-d), which is supported by the reduction in the expression of albumin (Alb; Extended Data Fig. 6e, Supplementary Table 6).",
20,"Liver differential gene expression revealed an increased immune signature with age, including overexpression of H2-Aa, H2-Ab1, H2-D1, H2-Eb1, Cd74, and Lyz2.",threshold-based or cutoff-dependent result,2,"Extended Data Figure 6e; Main text - liver composition (page 593); Supplementary Table 6","GEO: GSE132042: direct","Differential gene expression analysis revealed an increased immune signature, as illustrated by the overexpression of H2-Aa, H2-Ab1, H2-D1, H2-Eb1, Cd74, Lyz2 and others",
21,"The number of Clec4f-positive Kupffer cells in the liver did not change with age, but the number of cells co-expressing Clec4f and Il1b increased with age.",comparative or integrative finding,2,"Extended Data Figure 6g-j; Main text - liver composition (page 593); Supplementary Table 7","GEO: GSE132042: direct","We performed in situ RNA staining in liver Kupffer cells (Extended Data Fig. 6g) with Clec4f and found that the number of Clec4f-positive cells does not change with age, consistent with the results of the tissue composition analysis (Extended Data Fig. 6h, Supplementary Table 7). However, when co-staining with Il1b, we found that the number of cells expressing both Clec4f and Il1b increased with age",
22,"Mrc1 expression increased with age in liver Kupffer cells, while overall Mrc1 expression in liver endothelial cells decreased with age.",comparative or integrative finding,2,"Main text - liver composition (page 593); Supplementary Table 6","GEO: GSE132042: direct","We identified increased expression of Mrc1 with age in Kupffer cells, whereas the overall expression of Mrc1 in liver endothelial cells decreased with age",Mrc1: mannose receptor C-type 1 gene
23,"The number of Mrc1-expressing liver sinusoidal endothelial cells increased with age as shown by in situ RNA staining.",direct empirical observation,2,"Extended Data Figure 6l-o; Main text - liver composition (page 593); Supplementary Table 7","GEO: GSE132042: direct","we found that the number of Mrc1-expressing LSECs increased with age (Extended Data Fig. 6m-o).",LSECs: liver sinusoidal endothelial cells
24,"An age-related increase in the number of somatic mutations was observed across all analysed organs using full-length transcript data from FACS.",direct empirical observation,1,"Figure 3; Extended Data Figure 7; Main text - genomic instability / mutations (page 593)","GEO: GSE132042: direct","We focused on genes that were expressed in at least 75% of cells for each age group within a particular tissue, and observed an age-related increase in the number of mutations across all of the organs we analysed (Fig. 3, Extended Data Fig. 7a, c, e)",
25,"Tongue and bladder were the most affected organs in terms of age-related accumulation of somatic mutations.",direct empirical observation,2,"Main text - genomic instability / mutations (page 593); Extended Data Figure 7","GEO: GSE132042: direct","tongue and bladder were the most affected.",
26,"The observed age-related increase in mutations exceeded the level expected from amplification and sequencing errors as estimated using ERCC spike-in controls.",comparative or integrative finding,1,"Figure 3; Extended Data Figures 7-8; Main text - genomic instability / mutations (page 593)","GEO: GSE132042: direct","we verified that the number of mutations exceeded those expected from amplification and sequencing errors, which can be estimated using External RNA Controls Consortium (ERCC) controls that were spiked into each well",ERCC: External RNA Controls Consortium spike-in RNA standards used to estimate technical error rates
27,"B cell receptor sequences were computationally assembled for 6050 cells from FACS data across three time points.",direct empirical observation,2,"Figure 4a; Main text - immune repertoire (page 593-594)","GEO: GSE132042: direct","B cell receptors were assembled for 6,050 cells (Fig. 4a, Extended Data Fig. 9a)",
28,"The fraction of B cells belonging to a clonal family increased from approximately 9% at 3 months to approximately 20% at 18 months and approximately 38% at 24 months.",statistical/quantitative finding,1,"Figure 4a; Main text - immune repertoire (page 593-594); Supplementary Table 9","GEO: GSE132042: direct","whereas most of the cells at 3 months were not part of a clone (9% were part of a clonal family), the number of B cells belonging to a clonotype doubled at 18 months (20%) when compared to 3 months, and doubled again from 18 months to 24 months (around 38%).",
29,"T cell receptor sequences were computationally assembled for 6000 cells from FACS data across three time points.",direct empirical observation,2,"Figure 4b; Main text - immune repertoire (page 593-594)","GEO: GSE132042: direct","T cell receptors for 6,000 cells (Fig. 4b, Extended Data Fig. 9b).",
30,"The fraction of T cells belonging to a clonal family increased from approximately 3% at 3 months to approximately 23% at 18 months and approximately 20% at 24 months.",statistical/quantitative finding,1,"Figure 4b; Main text - immune repertoire (page 593-594); Supplementary Table 9","GEO: GSE132042: direct","only around 3% (55 out of 1,895) of the cells at 3 months were part of a clone. At 18 months and 24 months, this value increased to around 23% (479 out of 2,056) and around 20% (348 out of 1,780) of the cells, respectively",
31,"Transcriptomic diversity analysis identified brain myeloid microglial cells and kidney macrophages as cell types with significant age-related changes in diversity.",computational/modeling-derived conclusion,1,"Figure 4c; Extended Data Figure 10; Extended Data Figure 11a-b; Main text - diversity score (page 593-594)","GEO: GSE132042: direct","We observed significant changes in diversity for cells of the immune system that originate from the brain and the kidney (Fig. 4c, Extended Data Fig. 11a, b).",
32,"The age-related diversity changes in brain microglia and kidney macrophages were not confounded by the number of genes expressed per cell.",computational/modeling-derived conclusion,2,"Extended Data Figure 11c-d; Main text - diversity score (page 594)","GEO: GSE132042: direct","These results were not confounded by the number of genes expressed per cell (Extended Data Fig. 11c, d).",
33,"In brain myeloid microglial cells, young (3-month) microglia predominantly occupied distinct transcriptomic clusters from old (18-month and 24-month) microglia.",direct empirical observation,1,"Figure 4d; Main text - brain microglia (page 594)","GEO: GSE132042: direct","In brain myeloid microglial cells, the majority of young (3 month) microglia occupy clusters 1 and 6, whereas old (18 month and 24 month) microglia constitute the vast majority of cells in clusters 10, 12 and 14",
34,"Trajectory analysis suggested that young microglia transition through an intermediate state before acquiring the transcriptomic signature of old microglia.",computational/modeling-derived conclusion,2,"Extended Data Figure 11e; Main text - brain microglia (page 594)","GEO: GSE132042: direct","Trajectory analysis suggests that young microglia go through an intermediate state, represented by the clusters mostly occupied by 18-month microglial cells, before acquiring the signature of old microglia",
35,"Old microglial clusters upregulated MHC class I genes (H2-D1, H2-K1, B2m) and genes associated with degenerative disease such as Fth1.",direct empirical observation,1,"Main text - brain microglia (page 594); Supplementary Table 10","GEO: GSE132042: direct","These cells upregulate major histocompatibility complex (MHC) class I genes (H2-D1, H2-K1 and B2m), along with genes associated with degenerative disease (for example, Fth1)",MHC: major histocompatibility complex
36,"Old microglial clusters were enriched for interferon-responsive or regulatory genes including Oasl2, Oas1a, Ifit3, Rtp4, Bst2, Stat1, Irf7, Ifitm3, Usp18, Ifi204, and Ifit2.",direct empirical observation,1,"Main text - brain microglia (page 594); Supplementary Table 10","GEO: GSE132042: direct","gene expression in clusters 10, 12 and 14 is enriched with interferon responsive or regulatory genes (for example, Oasl2, Oas1a, Ifit3, Rtp4, Bst2, Stat1, Irf7, Ifitm3, Usp18, Ifi204 and Ifit2), suggesting an expansion of this small pro-inflammatory subset of microglia in the ageing brain",
37,"Approximately 55 of the top 200 differentially expressed genes between young and old microglial clusters overlapped with a previously reported Alzheimer's disease-specific microglial signature.",comparative or integrative finding,1,"Figure 4e; Main text - brain microglia (page 594); Supplementary Table 10","GEO: GSE132042: direct","the list of differentially expressed genes between 'young' and 'old' clusters resembles the previously reported Alzheimer's disease-specific microglial signature, with 55 out of the top 200 differential expressed genes shared between the two differential gene expression lists",
38,"In kidney macrophages, a cluster predominantly composed of young (1-month and 3-month) cells was enriched for an M2-macrophage gene signature, while a cluster predominantly composed of old (18-month and older) cells resembled an M1-proinflammatory macrophage state.",comparative or integrative finding,1,"Figure 4f; Extended Data Figure 11f; Main text - kidney macrophages (page 594); Supplementary Table 10","GEO: GSE132042: direct","Differential gene expression revealed that cluster 10 is enriched for an M2-macrophage gene signature (for example, Il10, H2-Eb1, H2-Ab1, H2-Aa, Cd74, C1qa, Cxcl16, Hexb, Cd81, C1qb and Cd72) whereas cluster 13 resembles a M1-proinflammatory macrophage state (for example, Hp, Itgal, Msrb1 and Gngt2)",M2-macrophage: anti-inflammatory macrophage phenotype; M1-macrophage: pro-inflammatory macrophage phenotype
39,"Changes in gene expression observed in bulk experiments are often attributable to both changes in the number of cells of a given type and changes in per-cell gene expression levels.",comparative or integrative finding,1,"Extended Data Figure 5a-b; Main text - paragraph 3 (page 590)","GEO: GSE132042: direct","we observed that-in many cases-changes in gene expression are due to both changes in the numbers of cells in a population and changes in the gene expression levels in each cell",
40,"B cells and endothelial cells independently annotated in different organs clustered together by unbiased whole-transcriptome analysis irrespective of tissue of origin or processing method.",direct empirical observation,2,"Figure 1e-f; Extended Data Figure 1g-l","GEO: GSE132042: direct","cells annotated as B cells or endothelial cells tend to occupy the same clusters irrespective of their tissue of origin or the method with which they were processed",
41,"More than 70% of cells in the dataset were automatically annotated using the Tabula Muris 3-month reference, with the remainder annotated manually by tissue experts.",computational/modeling-derived conclusion,2,"Figure 1b; Main text - paragraph 2 (page 590)","GEO: GSE132042: direct","Using this approach, we were able to automatically annotate more than 70% of the cells. All the automated cell annotations were reviewed and approved by human experts, and the remaining cells were annotated by hand",
42,"The relative abundance of precursor B cells in bone marrow decreased significantly with age.",direct empirical observation,2,"Extended Data Figure 5e; Supplementary Table 5","GEO: GSE132042: direct","Relative abundances of marrow precursor B cells change significantly with age",
43,"The relative abundance of keratinocyte stem cells in skin changed significantly with age.",direct empirical observation,2,"Extended Data Figure 5g; Supplementary Table 5","GEO: GSE132042: direct","Relative abundances of skin keratinocyte stem cells change significantly with age",
44,"Hepatocyte cell size increased and cell number decreased with age in the liver as shown by bright-field imaging.",direct empirical observation,2,"Extended Data Figure 6b-d","GEO: GSE132042: direct","Bright-field imaging of hepatocytes at different ages (b) and respective quantification (c, d).",
45,"Albumin (Alb) expression in the liver decreased with age, consistent with the declining proportion of hepatocytes.",threshold-based or cutoff-dependent result,2,"Extended Data Figure 6e; Main text - liver composition (page 593); Supplementary Table 6","GEO: GSE132042: direct","We observed an age-related decrease in the relative number of hepatocytes (Extended Data Fig. 6a-d), which is supported by the reduction in the expression of albumin (Alb; Extended Data Fig. 6e, Supplementary Table 6).",
46,"Immune response genes Tnfrsf12a and Cdkn1a were overexpressed with age in both bladder mesenchymal cells and bladder urothelial cells.",threshold-based or cutoff-dependent result,2,"Main text - bladder composition (page 591); Supplementary Table 6","GEO: GSE132042: direct","the overexpression of genes associated with immune response-such as Tnfrsf12a and Cdkn1a-in both bladder (mesenchymal) cells and bladder urothelial cells",
47,"The age-related increase in somatic mutations was observed across all five functional cell-type groups (endothelial, immune, parenchymal, stem/progenitor, and stromal cells).",direct empirical observation,2,"Figure 3b-f; Extended Data Figure 7","GEO: GSE132042: direct","Distribution of the difference of the mean mutation in the gene set (and ERCC spike-in controls) per cell between 24 months and 3 months and between 18 months and 3 months for all tissues and cells (a) and with the cell types split into five functional groups: endothelial cells (b), immune cells (c), parenchymal cells (d), stem/progenitor cells (e) and stromal cells (f).",
48,"Senescence-associated genes E2f2, Lmnb1, Tnf, and Itgax showed positive correlation between ageing and the fraction of cells expressing them.",direct empirical observation,2,"Main text - paragraph 3 (page 591); Supplementary Table 4","GEO: GSE132042: direct","other genes with positive correlation include E2f2, Lmnb1, Tnf and Itgax.",
