claim_id,claim_text,claim_type,importance_tier,evidence_location,dataset_link,supporting_quote,key_terms
23,"Local Atp1a1 expression increases with age in both capillary endothelial cells and mesangial cells in the kidney, suggesting a compensatory mechanism counteracting the declining proportion of these cell types.",mechanistic interpretation,2,"Main text page 591-592; Supplementary Table 6",GEO: GSE132042: direct,"Notably, local Atp1a1 expression increases with age in both capillary endothelial cells and mesangial cells, suggesting that a compensation mechanism counteracts the effects of the declining proportion of these cells with age.",
24,"Expression of Umod (encoding uromodulin) decreases across the kidney tissue with age due to the reduced proportion of ascending limb epithelial cells that produce it.",mechanistic interpretation,2,"Main text page 592; Fig. 2g; Supplementary Table 6",GEO: GSE132042: direct,"the expression of Umod-which encodes uromodulin, the most abundant protein in urine-is also reduced across the tissue",Umod: gene encoding uromodulin (Tamm-Horsfall protein) - the most abundant protein in normal urine
25,"Umod expression increases within the ascending limb epithelial cell types that become less abundant with age, paralleling the compensatory pattern observed for Atp1a1.",direct empirical observation,2,"Main text page 592; Supplementary Table 6",GEO: GSE132042: direct,"As with Atp1a1, we see that the expression of Umod increases in a cell type that becomes less abundant with age, leading to an overall reduction of its expression in the organ.",
26,"Age-related changes in spleen composition are supported by upregulation of B cell and plasma cell markers Cd79a and Jchain and downregulation of the T cell marker Cd3d.",threshold-based or cutoff-dependent result,2,"Main text page 592; Fig. 2j; Supplementary Table 6",GEO: GSE132042: direct,"This is supported by the upregulation of B cell and plasma cell marker genes (Cd79a and Jchain (also known as Igj), respectively; Fig. 2j, Supplementary Table 6) and the downregulation of Cd3d",Jchain: joining chain gene (also known as Igj) - a component of polymeric immunoglobulins and a plasma cell marker
27,"The T cell population in the mammary gland declines with age.",direct empirical observation,2,"Main text page 592; Extended Data Fig. 5c",GEO: GSE132042: direct,"in the mammary gland we observed a decline of the T cell population",
28,"AP1 transcription factors (Junb, Jund, and Fos) are upregulated with age in the mammary gland, consistent with normal mammary gland involution.",direct empirical observation,2,"Main text page 592-593; Extended Data Fig. 5d; Supplementary Table 6",GEO: GSE132042: direct,"genes encoding AP1 transcription factors (Junb, Jund and Fos) were upregulated with age (Extended Data Fig. 5d, Supplementary Table 6), consistent with the observation that normal involution of the mammary gland is accompanied by increased expression of this gene family",AP1: activator protein 1 transcription factor complex including JUN and FOS family members
29,"The relative proportion of hepatocytes in the liver decreases with age, supported by a tissue-wide reduction in albumin (Alb) expression.",direct empirical observation,2,"Main text page 593; Extended Data Fig. 6a, 6e; Supplementary Table 5",GEO: GSE132042: direct,"We observed an age-related decrease in the relative number of hepatocytes (Extended Data Fig. 6a-d), which is supported by the reduction in the expression of albumin (Alb; Extended Data Fig. 6e, Supplementary Table 6)",
30,"Differential gene expression in the liver reveals an increased immune signature with age, illustrated by overexpression of H2-Aa, H2-Ab1, H2-D1, H2-Eb1, Cd74, and Lyz2.",threshold-based or cutoff-dependent result,2,"Main text page 593; Extended Data Fig. 6e",GEO: GSE132042: direct,"Differential gene expression analysis revealed an increased immune signature, as illustrated by the overexpression of H2-Aa, H2-Ab1, H2-D1, H2-Eb1, Cd74, Lyz2 and others (Extended Data Fig. 6e).",
31,"Mrc1 expression increases in liver Kupffer cells with age, whereas overall Mrc1 expression in liver endothelial cells decreases with age.",comparative or integrative finding,2,"Main text page 593; Extended Data Fig. 6k; Supplementary Table 6",GEO: GSE132042: direct,"We identified increased expression of Mrc1 with age in Kupffer cells, whereas the overall Mrc1 in endothelial cells decreased with age (Supplementary Table 6).",Mrc1: mannose receptor C-type 1 gene involved in immune defence; LSECs: liver sinusoidal endothelial cells
32,"The age-related increase in somatic mutations exceeds what is expected from amplification and sequencing errors, as verified using ERCC spike-in controls that show no corresponding age-related increase.",statistical/quantitative finding,2,"Main text page 593; Fig. 3; Extended Data Fig. 8",GEO: GSE132042: direct,"We controlled for sequencing coverage and gene expression levels (Extended Data Fig. 8a, c, e), and verified that the number of mutations exceeded those expected from amplification and sequencing errors, which can be estimated using External RNA Controls Consortium (ERCC) controls that were spiked into each well",ERCC: External RNA Controls Consortium - synthetic RNA spike-in controls used to assess technical variation in RNA sequencing
33,"Old microglia are enriched for interferon responsive and regulatory genes (including Oasl2, Ifit3, Stat1, and Irf7) compared to young microglia, suggesting expansion of a pro-inflammatory microglial subset in the ageing brain.",threshold-based or cutoff-dependent result,2,"Main text page 594; Supplementary Table 10",GEO: GSE132042: direct,"gene expression in clusters 10, 12 and 14 is enriched with interferon responsive or regulatory genes (for example, Oasl2, Oas1a, Ifit3, Rtp4, Bst2, Stat1, Irf7, Ifitm3, Usp18, Ifi204 and Ifit2), suggesting an expansion of this small pro-inflammatory subset of microglia in the ageing brain",
34,"The kidney macrophage anti-inflammatory population is enriched for genes such as Il10, H2-Eb1, H2-Ab1, Cd74, and Cxcl16, while the pro-inflammatory population is enriched for genes such as Hp, Itgal, Msrb1, and Gngt2.",threshold-based or cutoff-dependent result,2,"Main text page 594; Extended Data Fig. 11f; Supplementary Table 10",GEO: GSE132042: direct,"Differential gene expression analysis revealed that cluster 10 is enriched for an M2-macrophage gene signature (for example, Il10, H2-Eb1, H2-Ab1, H2-Aq, Cd74, Cxcl16, Hexb, Cd81, C1qb and Cd72) whereas cluster 13 resembles a M1-proinflammatory macrophage state (for example, Hp, Itgal, Msrb1 and Gngt2)",
35,"The relative abundance of precursor B cells in the bone marrow decreases with age.",direct empirical observation,2,"Extended Data Fig. 5e; Supplementary Table 5",GEO: GSE132042: direct,"Relative abundances of marrow precursor B cells change significantly with age",
36,"Cells annotated as B cells or endothelial cells from different organs cluster together by whole-transcriptome analysis irrespective of tissue of origin or sequencing method, validating the consistency of cell-type annotations across the atlas.",direct empirical observation,3,"Main text page 590; Fig. 1e-f; Extended Data Fig. 1g-l",GEO: GSE132042: direct,"cells annotated as B cells or endothelial cells tend to occupy the same clusters irrespective of their tissue of origin or the method with which they were processed (Fig. 1e, f, Extended Data Fig. 1g-l).",
37,"The relative abundance of skin keratinocyte stem cells changes significantly with age.",direct empirical observation,3,"Extended Data Fig. 5g; Supplementary Table 5",GEO: GSE132042: direct,"Relative abundances of skin keratinocyte stem cells change significantly with age",
38,"The diversity score metric for identifying age-susceptible cell types is not confounded by the number of genes expressed per cell.",computational/modeling-derived conclusion,3,"Extended Data Fig. 11c-d",GEO: GSE132042: direct,"These results were not confounded by the number of genes expressed per cell (Extended Data Fig. 11c, d).",

EXCLUDED BORDERLINE CLAIMS

excluded_claim_text,reason_for_exclusion
"Approximately 55 of the top 200 differentially expressed genes between young and old microglial clusters overlap with a previously reported Alzheimer's disease-specific microglial gene signature.","Requires an external gene list (the Alzheimer's disease-specific microglial signature from Keren-Shaul et al.) not among the paper's own datasets. The differential expression itself is derivable, but the overlap comparison depends on an external classification."
"Hepatocyte cell size increases and hepatocyte cell number decreases with age in the liver.","This finding is from bright-field imaging experiments (Extended Data Fig. 6b-d), not from the scRNA-seq datasets described in the dataset profile. A researcher with access only to the scRNA-seq data could not replicate these measurements."
"The number of Mrc1-expressing liver sinusoidal endothelial cells (LSECs) increases with age, although Mrc1 expression per LSEC does not increase.","The increased number of Mrc1-expressing LSECs was demonstrated primarily by in situ RNA staining (Extended Data Fig. 6l-o), not directly derivable from the scRNA-seq dataset alone. The negative result about per-cell expression is from scRNA-seq but is not informative on its own."
"The number of Clec4f-positive Kupffer cells does not change significantly with age in the liver.","This specific cell count finding was quantified by in situ RNA staining (Extended Data Fig. 6g-h); while tissue composition analysis from scRNA-seq is consistent, the primary evidence for the absolute cell number claim is from staining data not in the dataset profile."
"LSECs show age-related changes in gene signatures that are closely linked with their function in immune response.","This claim is partly interpretive and relies on literature references about LSEC function rather than being directly verifiable from the dataset alone."
